"","run","subid","sequence","country","age","gender","englishNative","ethnicity","education","religionChild","religionNow","job","comments","phase","predicate","trialNum","leftCharacter","rightCharacter","response","rt","country_selfrep","responseNum"
"79","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"practice","sweeter",2,"grapes","strawberries","slightly more right",2886,"USA",1
"80","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"test","thinking",3,"kid","baby","much more left",2348,"USA",-2
"81","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"test","thinking",4,"robot","stapler","both equally",2219,"USA",0
"82","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"test","thinking",5,"kid","bug","much more left",1470,"USA",-2
"83","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"test","thinking",6,"baby","car","much more left",1828,"USA",-2
"84","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"test","thinking",7,"dog","stapler","much more left",1419,"USA",-2
"85","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"test","thinking",8,"computer","bear","much more right",1492,"USA",2
"86","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"test","thinking",9,"bug","robot","much more left",1483,"USA",-2
"87","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"test","thinking",10,"grownup","dog","much more left",1183,"USA",-2
"88","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"test","feelings",11,"grownup","kid","much more left",152882,"USA",-2
"89","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"test","feelings",12,"stapler","baby","much more right",1774,"USA",2
"90","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"test","feelings",13,"bug","bear","much more right",1716,"USA",2
"91","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"test","feelings",14,"robot","dog","much more right",1052,"USA",2
"92","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"test","feelings",15,"computer","grownup","much more right",1732,"USA",2
"93","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"test","feelings",16,"kid","car","much more left",1507,"USA",-2
"94","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"test","feelings",17,"dog","baby","slightly more right",3363,"USA",1
"95","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"test","hunger",18,"car","dog","much more right",2094,"USA",2
"96","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"test","hunger",19,"bear","grownup","much more right",1706,"USA",2
"97","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"test","hunger",20,"baby","bug","much more left",1661,"USA",-2
"98","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"test","hunger",21,"stapler","car","both equally",1699,"USA",0
"99","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"test","hunger",22,"computer","robot","both equally",1171,"USA",0
"100","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"test","hunger",23,"bear","stapler","both equally",1035,"USA",0
"101","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"test","hunger",24,"robot","kid","much more right",1955,"USA",2
"102","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","practice","colder",1,"pizza","icecream","much more right",3070,"USA",2
"103","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","practice","sweeter",2,"strawberries","grapes","much more right",2449,"USA",2
"104","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","test","thinking",3,"bug","robot","much more left",2854,"USA",-2
"105","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","test","thinking",4,"stapler","dog","much more right",1626,"USA",2
"106","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","test","thinking",5,"bug","kid","much more right",1734,"USA",2
"107","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","test","thinking",6,"computer","bear","much more right",1829,"USA",2
"108","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","test","thinking",7,"car","baby","much more right",916,"USA",2
"109","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","test","thinking",8,"dog","grownup","much more right",836,"USA",2
"110","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","test","thinking",9,"robot","stapler","much more left",2299,"USA",-2
"111","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","test","thinking",10,"kid","baby","both equally",1548,"USA",0
"112","us_run_01","us_run_01_5","sequence1","us",24,"male","yes_only","white","hs_diploma","none","none","INTERNET","THANK YOU :)","test","feelings",11,"computer","grownup","much more right",2509,"USA",2
